latitude, longitude, datanum, time, pressure, altitude, temperature
*, *, 1, 00:00:00, 275.25, 68.81, 28.69
*, *, 2, 00:00:00, 275.75, 69.44, 28.62
*, *, 3, 00:00:00, 278.25, 70.19, 28.62
*, *, 4, 00:00:00, 280.75, 69.75, 28.56
*, *, 5, 00:00:00, 281.00, 69.87, 28.56
*, *, 6, 18:05:51, 277.50, 69.37, 28.56
*, *, 7, 18:05:53, 278.25, 69.31, 28.56
*, *, 8, 18:05:55, 277.75, 69.56, 28.56
*, *, 9, 18:05:57, 276.50, 69.37, 28.56
*, *, 10, 18:05:59, 278.75, 69.56, 28.50
*, *, 11, 18:06:01, 278.25, 69.44, 28.50
*, *, 12, 18:06:03, 279.00, 70.12, 28.50
*, *, 13, 18:06:05, 279.50, 69.62, 28.50
*, *, 14, 18:06:07, 278.50, 69.62, 28.50
*, *, 15, 18:06:09, 278.25, 69.62, 28.56
*, *, 16, 18:06:11, 278.75, 69.81, 28.56
*, *, 17, 18:06:13, 283.25, 71.12, 28.56
*, *, 18, 18:06:15, 286.00, 71.06, 28.56
*, *, 19, 18:06:17, 284.25, 70.94, 28.56
*, *, 20, 18:06:20, 286.00, 70.94, 28.62
44.231506, -76.613952, 21, 18:06:22, 283.75, 70.19, 28.62
44.231517, -76.613952, 22, 18:06:24, 277.00, 69.31, 28.62
44.231517, -76.613960, 23, 18:06:26, 276.75, 69.31, 28.62
44.231468, -76.613990, 24, 18:06:28, 277.75, 69.44, 28.62
44.231464, -76.613998, 25, 18:06:30, 277.25, 69.25, 28.62
44.231472, -76.613998, 26, 18:06:32, 277.75, 69.31, 28.62
44.231460, -76.614006, 27, 18:06:34, 277.25, 69.56, 28.62
44.231452, -76.614013, 28, 18:06:36, 277.75, 69.69, 28.62
44.231452, -76.614021, 29, 18:06:38, 278.50, 69.94, 28.56
44.231445, -76.614021, 30, 18:06:40, 278.75, 69.37, 28.62
44.231445, -76.614028, 31, 18:06:42, 279.25, 70.06, 28.56
44.231445, -76.614028, 32, 18:06:44, 280.25, 70.06, 28.56
